id,popularity,budget,revenue,original_title,cast,director,runtime,genres,production_companies,vote_count,release_year,profit
546.0,0.374704,1116563.29,14906531.93,Transamerica,Felicity Huffman|Kevin Zegers|Elizabeth Pe̱a|Danny Burstein|Maurice Orozco,Duncan Tucker,103.0,['Romance Drama'],IFC Films|The Weinstein Company,65.0,2005.0,0.0
12142.0,0.370396,22331265.79,11660056.05,Alone in the Dark,Christian Slater|Tara Reid|Stephen Dorff|Frank C. Turner|Matthew Walker,Uwe Boll,96.0,['War Drama Action Adventure History'],Boll Kino Beteiligungs GmbH & Co. KG|Brightlight Pictures|Herold Productions|Lionsgate|Infogrames Entertainment,74.0,2005.0,-120000000.0
8968.0,0.369596,22331265.79,75025079.69,Boogeyman,Emily Deschanel|Barry Watson|Skye McCole Bartusiak|Lucy Lawless|Tory Mussett,Stephen Kay,89.0,['Action Thriller Science Fiction Foreign'],Ghost House Pictures|Senator International|Screen Gems|Pacific Renaissance Pictures Ltd.,91.0,2005.0,0.0
1826.0,0.367248,14515322.77,26493033.26,Les Poup̩es Russes,Romain Duris|Kelly Reilly|Audrey Tautou|C̩cile De France|Kevin Bishop,C̩dric Klapisch,129.0,['Horror Action Science Fiction Thriller'],StudioCanal|TPS Cin̩ma|Lunar Films|Canal+|Ce Qui Me Meut Motion Pictures,106.0,2005.0,-2500000.0
9042.0,0.332997,33496898.69,16757371.8,The Cave,Cole Hauser|Eddie Cibrian|Morris Chestnut|Lena Headey|Piper Perabo,Bruce Hunt,97.0,['Romance Comedy Drama'],Lakeshore Entertainment|Cinerenta Medienbeteiligungs KG|Screen Gems|Cineblue Internationale Filmproduktionsgesellschaft|City Productions,111.0,2005.0,0.0
1833.0,0.330618,44662531.59,35362251.65,Rent,Anthony Rapp|Adam Pascal|Rosario Dawson|Jesse L. Martin|Wilson Jermaine Heredia,Chris Columbus,135.0,['Comedy Drama Family TV Movie'],Columbia Pictures|1492 Pictures|Revolution Studios,89.0,2005.0,0.0
10707.0,0.326577,1674844.934,12391765.66,The Squid and the Whale,Jeff Daniels|Laura Linney|Jesse Eisenberg|Owen Kline|William Baldwin,Noah Baumbach,81.0,['Drama Action Thriller'],Destination Films|Samuel Goldwyn Films|Sony Pictures International,118.0,2005.0,0.0
12228.0,0.290754,2233126.579,729809.2139,Inside Deep Throat,Dennis Hopper|Peter Bart|Warren Beatty|Carl Bernstein,Fenton Bailey|Randy Barbato,92.0,['Action Comedy Horror Mystery Science Fiction'],Paramount Pictures,17.0,2005.0,-15365938.0
18882.0,0.287286,8374224.672,159668.5504,Man-Thing,Matthew Le Nevez|Rachael Taylor|Jack Thompson|Rawiri Paratene|Steve Bastoni,Brett Leonard,97.0,['TV Movie Animation Adventure'],Lions Gate Films|Artisan Entertainment|Marvel Enterprises,15.0,2005.0,0.0
16411.0,0.285062,1729556.536,7923133.103,Tau man ji D,Jay Chou|Shawn Yue|Edison Chen|Anthony Wong|Anne Suzuki,Andrew Lau|Alan Mak,107.0,['Family History Action Drama'],Media Asia Film|Sil-Metropole Organisation|Avex Inc.|Basic Pictures,33.0,2005.0,0.0
